"TOA5","CR1000-Admin Met","CR1000","52119","CR1000.Std.25","CPU:WXT520-30,60.Rain-1-10-16.CR1","19841","Admin"
"TIMESTAMP","RECORD","Ws_Mean","Wd_MeanUnitVector","Wd_StdDev","AirTemp_Avg","RelHumidity","AirPressure","Ramount_Tot","Hamount_Tot"
"TS","RN","mph","Deg","Deg","Celsius","%","hPa","in","hits/cm2"
"","","WVc","WVc","WVc","Avg","Smp","Smp","Tot","Tot"
"2016-01-22 05:00:00",276,1.702,327.5,30.78,38.53,34.7,645.5,0,0
"2016-01-22 06:00:00",277,1.909,20.76,28.64,39.5,36.4,645.6,0,0
"2016-01-22 07:00:00",278,2.014,5.09,20.83,38.67,34,646,0,0
"2016-01-22 08:00:00",279,1.506,42.42,33.67,39.39,36.4,646,0,0
"2016-01-22 09:00:00",280,2.337,115.3,18.1,42.67,30.6,646.1,0,0
"2016-01-22 10:00:00",281,2.737,111.6,34.68,46.52,28.4,646.1,0,0
"2016-01-22 11:00:00",282,4.695,78.79,18.45,47.76,31.6,645.7,0,0
"2016-01-22 12:00:00",283,4.078,99.5,25.12,48.28,28.4,645.2,0,0
"2016-01-22 13:00:00",284,5.896,109.3,15.78,50.31,31.4,644.4,0,0
"2016-01-22 14:00:00",285,6.317,108.4,11.8,49.76,33.5,643.8,0,0
"2016-01-22 15:00:00",286,4.369,99.9,12.89,50.78,32.8,643.4,0,0
"2016-01-22 16:00:00",287,2.836,91.2,26.01,51.16,34.8,643.3,0,0
"2016-01-22 17:00:00",288,2.526,93.3,20.03,48.95,36.7,643.7,0,0
"2016-01-22 18:00:00",289,2.68,93.6,35.2,45.75,41.5,643.8,0,0
"2016-01-22 19:00:00",290,2.397,331.9,23.44,43.56,49.7,643.9,0,0
